Invoice Number,Total Charged
X15688941,172.21437500000002
813728138,1.125291875
G42174195,0.640325625
27307572,1.3046118750000004
E37309831,2.0523306250000006
729631867,0.9712956250000002
R86891888,1.4591312500000002
G17880187,1.2040450000000003
185501314,1.4801312500000003
368374325,0.41795937500000013
525894132,1.396261875
Z32874868,0.9303631250000001
25775764,0.7238418750000001
655237307,7.468967637500004
X94129448,1.0478781250000002
Q32399790,1.4015531250000004
122800810,2.3890806250000005
36268118,0.54721375
347890376,1.3189668750000003
E36037758,0.4558431250000001
631541528,1.2601712500000004
K89069468,1.6468781250000004
265806304,0.89564875
404404809,0.7153006250000001
A56544011,0.4369612500000001
545042290,0.8250031250000002
G56427813,0.0013437500000000001
739441125,1.8956662500000006
767258161,1.5533393750000002
891036587,1.9317262500000003
616133418,3.0753468750000006
D11535455,0.0
M99701294,0.9783937500000001
Q85906860,0.235933125
T05657365,0.0
614116764,0.5533837500000001
544235753,512.8000081375001
113847505,1.7557512500000003
R99017922,0.5645937500000001
578429792,1.49412375
99736670,1.3163125000000002
556781099,0.8663200000000002
486128729,4.978660625000001
136721665,1.547745
411912154,0.8731343750000001
226951501,0.0
788637963,0.0
Q93290777,129.5279375
E22390057,53.72665438125
P15962702,2.0753487500000007
X18990729,0.0
358951563,4.9769306250000005
797056017,2.49748625
T19198420,0.0
266632390,0.8746687500000002
R00681180,0.0
C44648217,0.9020175
W82809165,0.0
W92106592,0.96415375
752619552,2.7425450000000002
P94091081,1.2263243750000001
666554693,1.5626187500000004
U13431705,2.5822800000000004
510533668,1.365609375
J34221786,0.5408862500000001
S52552586,0.0
M88834311,0.9682681250000003
347345320,0.5849175000000001
909249547,2.1153212500000005
A89165346,1.0113543750000002
314375014,3.972222500000001
E88462246,4.7435131250000016
400438952,-1.2956037500000002
D42270420,3.352666875
L72796583,0.0
T38566505,3.953540625000001
M57255552,3.0663256250000006
968858029,2.09375
267115359,1.0724325000000001
587945621,1.0973531250000004
J57753721,1.272608125
798373233,1.901449375
363331588,1.617344375
713971768,1.3865293750000003
N69004567,2.7304625000000007
J31035181,0.6125768750000001
E10850399,0.0
708583208,1.9329918750000006
G15941590,1.7373087500000002
K22363359,1.8602962500000002
K17203280,3.1787131250000007
K46176755,1.9556825000000004
B88262085,1.49988125
725748905,0.0016250000000000001
J61758079,1.365876875
L23619384,4.312353750000001
828655515,0.0
195621415,0.32095000000000007
525094401,3.07202
337689402,0.6258025000000002
V14223434,2.0932156250000005
Q86274702,2.148995
755478342,1.8430625000000003
656058731,0.8644181250000001
T70079518,1.1744131250000003
613714113,1.8110068750000003
761485484,0.60541
U82787473,1.5934500000000005
S79609985,0.0
991001106,0.0012812500000000003
288807811,2.18431875
774944901,0.0
S53605606,1.3682550000000002
924504787,2.4937368750000006
336525253,0.0
D07341731,5.107567500000001
A92477926,1.9947543750000003
P39725283,0.47220187500000005
840169060,1.8019543750000004
V49251693,2.1332850000000003
I54358125,4.358578125
W28530445,0.9323968750000001
B91326331,0.0
958585754,93.86487500000003
R63669385,182.82837500000005
470286696,1.9693618750000004
I96416098,0.0
559781413,0.0
U31929699,0.8367362500000003
Q38405095,0.39151687500000015
Y31637916,2.038633125
V62061340,1.8575443750000002
I65934666,0.0
850174225,2.4501812500000004
130538375,2.1637631250000005
513356951,0.8247968750000002
247390083,2.6347643750000005
V37847717,3.972806250000001
F02022898,1.5975450000000002
E56485804,0.9696468750000001
76592153,1.8683100000000004
Q01887853,0.5742150000000001
229307847,0.0026250000000000006
G67531466,3.861213125000001
S35264324,0.0
317166185,3.0334281250000004
I15725077,0.5592137500000001
U64433052,0.8995206250000001
Z34426267,2.1957800000000005
L85354169,0.9026893750000001
994185758,0.0
202313975,1.1859825000000002
987120802,1.2828593750000004
242969362,0.8533900000000001
J78713589,1.3879881250000006
634010388,0.019320625000000004
9121602,527.3295549999999
326452930,0.0
Q26371927,0.41649125
H06183335,2.2936062500000003
Z25278999,0.0
X04862706,1.2990437500000003
242007358,1.4737406250000002
48661514,1.8691031250000005
U89813792,1.232835625
125184742,1.6045762500000003
327297099,0.905811875
702992978,2.023303125
E38033006,0.0
D12358554,0.0
Q90870065,2.94521375
230475082,551.9835898312502
706551682,0.4507750000000001
432790320,0.14314562500000003
188588309,2.002928125
F79114333,3.9218650000000004
V93101563,0.0
M42191720,1.8004393750000003
396056152,0.9790525000000003
H06316666,2.7983712500000006
334385845,1.4765781250000003
882433012,1.7397974999999999
Y21203729,0.7949075000000001
N20997906,2.0995293750000004
726488347,3.0162593750000006
T33836658,0.8589393750000002
379818130,3.0918150000000004
594789673,1.29425875
W19626146,2.0614237500000003
D00472775,0.7633018750000002
988306831,2.1949150000000004
384267740,0.5485475000000001
667025891,1.6415068750000001
85743606,1.9339525000000006
S64053689,1.1958875000000002
362557395,2.7803637500000007
614603905,1.7485000000000004
L27724327,3.6871250000000004
J36454724,1.8453187500000003
436971423,1.8416356250000003
J36873143,0.7485093750000001
L59231488,0.0
H15630205,2.27814875
U17850650,0.8449375000000002
F64209688,1.7343262500000005
